message,department,category
I have an issue with refund requests.,Payments & Billing,Refund Requests
I have an issue with app update issues. Thanks!,Technical Support,App Update Issues
I am facing advance booking support. Thanks!,Ride Booking,Advance Booking Support
Please assist with customer support response time.,Feedback & Complaints,Customer Support Response Time
Please assist with discount not applied. Thanks!,Promotions & Discounts,Discount Not Applied
Please assist with cashback issues. Thanks!,Promotions & Discounts,Cashback Issues
Hello I am facing pickup & drop problems. Thanks!,Service & Operations,Pickup & Drop Problems
Having trouble with refund requests. Thanks!,Payments & Billing,Refund Requests
I am facing service feedback.,Feedback & Complaints,Service Feedback
Having trouble with complaint registration.,Feedback & Complaints,Complaint Registration
Hey I am facing schedule changes. Thanks!,Ride Booking,Schedule Changes
Please assist with ride cancellation.,Ride Booking,Ride Cancellation
Please assist with vehicle availability. Please help.,Vehicle & Driver Support,Vehicle Availability
Please assist with subscription renewal.,Payments & Billing,Subscription Renewal
Hello I am facing cashback issues. Thanks!,Promotions & Discounts,Cashback Issues
Having trouble with cashback issues. Please help.,Promotions & Discounts,Cashback Issues
Please assist with customer support response time.,Feedback & Complaints,Customer Support Response Time
Having trouble with app update issues. Thanks!,Technical Support,App Update Issues
Having trouble with customer support response time. Please help.,Feedback & Complaints,Customer Support Response Time
I have an issue with login problems.,Account Management,Login Problems
I am facing route issues.,Service & Operations,Route Issues
I have an issue with invoice issues.,Payments & Billing,Invoice Issues
I have an issue with app update issues.,Technical Support,App Update Issues
Having trouble with safety concerns.,Feedback & Complaints,Safety Concerns
Hi I am facing invoice issues. Please help.,Payments & Billing,Invoice Issues
Please assist with subscription management. Thanks!,Account Management,Subscription Management
I have an issue with ride cancellation. Urgent.,Ride Booking,Ride Cancellation
Please assist with service feedback. Urgent.,Feedback & Complaints,Service Feedback
I have an issue with pickup & drop problems. Please help.,Service & Operations,Pickup & Drop Problems
Having trouble with payment failures. Please help.,Payments & Billing,Payment Failures
I have an issue with account deactivation. Please help.,Account Management,Account Deactivation
Hi I am facing gps/tracking issues.,Technical Support,GPS/Tracking Issues
Having trouble with app update issues. Please help.,Technical Support,App Update Issues
I have an issue with route issues. Urgent.,Service & Operations,Route Issues
Hello I am facing promo code not working. Thanks!,Promotions & Discounts,Promo Code Not Working
Having trouble with discount not applied. Please help.,Promotions & Discounts,Discount Not Applied
Please assist with gps/tracking issues. Urgent.,Technical Support,GPS/Tracking Issues
Having trouble with promo code not working.,Promotions & Discounts,Promo Code Not Working
Hey I am facing service feedback. Please help.,Feedback & Complaints,Service Feedback
I have an issue with invoice issues.,Payments & Billing,Invoice Issues
Having trouble with ride cancellation. Thanks!,Ride Booking,Ride Cancellation
Please assist with account deactivation.,Account Management,Account Deactivation
Please assist with route issues. Thanks!,Service & Operations,Route Issues
Hello I am facing promo code not working. Please help.,Promotions & Discounts,Promo Code Not Working
Please assist with subscription management. Please help.,Account Management,Subscription Management
Having trouble with notification problems. Please help.,Technical Support,Notification Problems
I have an issue with service delays.,Service & Operations,Service Delays
Hey I am facing vehicle condition. Urgent.,Vehicle & Driver Support,Vehicle Condition
Please assist with account deactivation. Please help.,Account Management,Account Deactivation
I am facing invoice issues.,Payments & Billing,Invoice Issues
I have an issue with charging issues.,Vehicle & Driver Support,Charging Issues
Please assist with vehicle availability. Urgent.,Vehicle & Driver Support,Vehicle Availability
Hey I am facing safety concerns. Urgent.,Feedback & Complaints,Safety Concerns
Hi I am facing schedule changes. Please help.,Ride Booking,Schedule Changes
I have an issue with account creation issues. Urgent.,Account Management,Account Creation Issues
I have an issue with safety concerns. Urgent.,Feedback & Complaints,Safety Concerns
Please assist with service availability. Urgent.,Service & Operations,Service Availability
Please assist with account creation issues. Thanks!,Account Management,Account Creation Issues
Please assist with loyalty points. Please help.,Promotions & Discounts,Loyalty Points
Having trouble with cashback issues.,Promotions & Discounts,Cashback Issues
Please assist with driver behaviour. Urgent.,Vehicle & Driver Support,Driver Behaviour
Having trouble with account creation issues.,Account Management,Account Creation Issues
I am facing vehicle condition. Urgent.,Vehicle & Driver Support,Vehicle Condition
Please assist with account creation issues. Please help.,Account Management,Account Creation Issues
Hi I am facing app update issues. Urgent.,Technical Support,App Update Issues
Hello I am facing pickup & drop problems. Urgent.,Service & Operations,Pickup & Drop Problems
Having trouble with login problems. Please help.,Account Management,Login Problems
Please assist with app update issues. Thanks!,Technical Support,App Update Issues
Hi I am facing invoice issues. Please help.,Payments & Billing,Invoice Issues
I have an issue with refund requests. Urgent.,Payments & Billing,Refund Requests
Please assist with vehicle availability. Thanks!,Vehicle & Driver Support,Vehicle Availability
Hello I am facing booking failures. Please help.,Ride Booking,Booking Failures
Hi I am facing payment failures. Please help.,Payments & Billing,Payment Failures
Having trouble with promo code not working. Please help.,Promotions & Discounts,Promo Code Not Working
Hello I am facing service delays. Thanks!,Service & Operations,Service Delays
Hi I am facing service feedback. Please help.,Feedback & Complaints,Service Feedback
Hey I am facing advance booking support.,Ride Booking,Advance Booking Support
I have an issue with discount not applied. Please help.,Promotions & Discounts,Discount Not Applied
I have an issue with loyalty points.,Promotions & Discounts,Loyalty Points
Hi I am facing complaint registration. Please help.,Feedback & Complaints,Complaint Registration
Having trouble with schedule changes. Please help.,Ride Booking,Schedule Changes
Please assist with charging issues. Urgent.,Vehicle & Driver Support,Charging Issues
Please assist with notification problems.,Technical Support,Notification Problems
Please assist with charging issues. Thanks!,Vehicle & Driver Support,Charging Issues
I have an issue with booking failures.,Ride Booking,Booking Failures
I have an issue with promo code not working. Thanks!,Promotions & Discounts,Promo Code Not Working
Having trouble with loyalty points. Urgent.,Promotions & Discounts,Loyalty Points
Hello I am facing ride cancellation.,Ride Booking,Ride Cancellation
Hello I am facing complaint registration. Please help.,Feedback & Complaints,Complaint Registration
Hey I am facing app update issues.,Technical Support,App Update Issues
Having trouble with vehicle availability.,Vehicle & Driver Support,Vehicle Availability
I have an issue with app crashes. Urgent.,Technical Support,App Crashes
Hi I am facing app crashes. Urgent.,Technical Support,App Crashes
Please assist with subscription renewal.,Payments & Billing,Subscription Renewal
Having trouble with notification problems. Thanks!,Technical Support,Notification Problems
I have an issue with loyalty points.,Promotions & Discounts,Loyalty Points
Hey I am facing booking failures. Urgent.,Ride Booking,Booking Failures
I have an issue with account deactivation. Thanks!,Account Management,Account Deactivation
Having trouble with service feedback.,Feedback & Complaints,Service Feedback
Having trouble with account creation issues.,Account Management,Account Creation Issues
Hey I am facing login problems. Urgent.,Account Management,Login Problems
Having trouble with app crashes. Please help.,Technical Support,App Crashes
Please assist with refund requests. Thanks!,Payments & Billing,Refund Requests
Hey I am facing promo code not working.,Promotions & Discounts,Promo Code Not Working
Having trouble with safety concerns.,Feedback & Complaints,Safety Concerns
Hi I am facing service feedback. Urgent.,Feedback & Complaints,Service Feedback
Please assist with service availability. Please help.,Service & Operations,Service Availability
Having trouble with route issues. Thanks!,Service & Operations,Route Issues
I have an issue with service delays. Please help.,Service & Operations,Service Delays
Please assist with subscription management. Please help.,Account Management,Subscription Management
Having trouble with login problems. Please help.,Account Management,Login Problems
I am facing safety concerns. Thanks!,Feedback & Complaints,Safety Concerns
Hey I am facing subscription management. Urgent.,Account Management,Subscription Management
Having trouble with safety concerns.,Feedback & Complaints,Safety Concerns
Having trouble with login problems. Thanks!,Account Management,Login Problems
Hi I am facing booking failures. Please help.,Ride Booking,Booking Failures
Please assist with ride cancellation. Urgent.,Ride Booking,Ride Cancellation
I have an issue with cashback issues.,Promotions & Discounts,Cashback Issues
Having trouble with app update issues. Please help.,Technical Support,App Update Issues
I have an issue with complaint registration. Please help.,Feedback & Complaints,Complaint Registration
